deaths_0-5_circ,deaths_25+_circ,deaths_5-25_circ,Population_0-5,Population_25+,Population_5-25,STATEFP,COUNTYFP,mort_0-5_circ,mort_5-25_circ,mort_25+_circ,deaths_0-5_resp,deaths_25+_resp,deaths_5-25_resp,mort_0-5_resp,mort_5-25_resp,mort_25+_resp,deaths_0-5_all,deaths_25+_all,deaths_5-25_all,mort_0-5_all,mort_5-25_all,mort_25+_all,deaths_0-5_circ_est,deaths_25+_circ_est,deaths_5-25_circ_est,mort_0-5_circ_est,mort_5-25_circ_est,mort_25+_circ_est,deaths_0-5_resp_est,deaths_25+_resp_est,deaths_5-25_resp_est,mort_0-5_resp_est,mort_5-25_resp_est,mort_25+_resp_est,deaths_0-5_all_est,deaths_25+_all_est,deaths_5-25_all_est,mort_0-5_all_est,mort_5-25_all_est,mort_25+_all_est
,127.0,,1537.0,29327.0,6519.0,6,5,,,0.00433,,28.0,,,,0.000955,,438.0,,,,0.014935,,127.0,,,,0.00433,,28.0,,,,0.000955,,438.0,,,,0.014935
,747.0,,12391.0,148303.0,66170.0,6,7,,,0.005037,,216.0,,,,0.001456,13.0,2398.0,16.0,0.001049,0.000242,0.01617,,747.0,,,,0.005037,,216.0,,,,0.001456,13.0,2398.0,16.0,0.001049,0.000242,0.01617
,140.0,,1849.0,34474.0,8848.0,6,9,,,0.004061,,53.0,,,,0.001537,,517.0,,,,0.014997,,140.0,,,,0.004061,,53.0,,,,0.001537,,517.0,,,,0.014997
,38.0,,1526.0,13593.0,6469.0,6,11,,,0.002796,,,,,,,,149.0,,,,0.010962,,38.0,,,,0.002796,,,,,,,,149.0,,,,0.010962
,2218.0,,65671.0,779329.0,290127.0,6,13,,,0.002846,,697.0,,,,0.000894,38.0,7564.0,89.0,0.000579,0.000307,0.009706,,2218.0,,,,0.002846,,697.0,,,,0.000894,38.0,7564.0,89.0,0.000579,0.000307,0.009706
,62.0,,1632.0,19568.0,6340.0,6,15,,,0.003168,,27.0,,,,0.00138,,291.0,,,,0.014871,,62.0,,,,0.003168,,27.0,,,,0.00138,,291.0,,,,0.014871
,470.0,,8601.0,133906.0,43118.0,6,17,,,0.00351,,144.0,,,,0.001075,,1500.0,,,,0.011202,,470.0,,,,0.00351,,144.0,,,,0.001075,,1500.0,,,,0.011202
,2216.0,,78967.0,598487.0,302461.0,6,19,,,0.003703,,606.0,,,,0.001013,89.0,6502.0,110.0,0.001127,0.000364,0.010864,,2216.0,,,,0.003703,,606.0,,,,0.001013,89.0,6502.0,110.0,0.001127,0.000364,0.010864
,90.0,,1989.0,18029.0,8067.0,6,21,,,0.004992,,12.0,,,,0.000666,,235.0,,,,0.013035,,90.0,,,,0.004992,,12.0,,,,0.000666,,235.0,,,,0.013035
,412.0,,7473.0,92251.0,36922.0,6,23,,,0.004466,,105.0,,,,0.001138,,1341.0,11.0,,0.000298,0.014536,,412.0,,,,0.004466,,105.0,,,,0.001138,,1341.0,11.0,,0.000298,0.014536
,343.0,,15352.0,110148.0,55383.0,6,25,,,0.003114,,95.0,,,,0.000862,15.0,1087.0,,0.000977,,0.009869,,343.0,,,,0.003114,,95.0,,,,0.000862,15.0,1087.0,,0.000977,,0.009869
,41.0,,1088.0,13199.0,3857.0,6,27,,,0.003106,,10.0,,,,0.000758,,213.0,,,,0.016138,,41.0,,,,0.003106,,10.0,,,,0.000758,,213.0,,,,0.016138
,1839.0,,71308.0,533589.0,279891.0,6,29,,,0.003446,,573.0,,,,0.001074,80.0,5816.0,134.0,0.001122,0.000479,0.0109,,1839.0,,,,0.003446,,573.0,,,,0.001074,80.0,5816.0,134.0,0.001122,0.000479,0.0109
,251.0,,11682.0,91985.0,46118.0,6,31,,,0.002729,,81.0,,,,0.000881,,811.0,,,,0.008817,,251.0,,,,0.002729,,81.0,,,,0.000881,,811.0,,,,0.008817
