,B24031_001E,B24031_002E,B24031_003E,B24031_004E,B24031_005E,B24031_006E,B24031_007E,B24031_008E,B24031_009E,B24031_010E,B24031_011E,B24031_012E,B24031_013E,B24031_014E,B24031_015E,B24031_016E,B24031_017E,B24031_018E,B24031_019E,B24031_020E,B24031_021E,B24031_022E,B24031_023E,B24031_024E,B24031_025E,B24031_026E,B24031_027E,state,county
1004,31988.0,27880.0,25234.0,-666666666.0,41065.0,53472.0,21382.0,21772.0,55114.0,56250.0,-666666666.0,70590.0,41167.0,42788.0,40817.0,28250.0,50652.0,-666666666.0,21518.0,34805.0,43646.0,31426.0,6091.0,13333.0,5847.0,30149.0,24803.0,28,039
1005,30080.0,123049.0,21719.0,-666666666.0,27750.0,28135.0,43542.0,15490.0,40938.0,41813.0,-666666666.0,-666666666.0,106184.0,106447.0,-666666666.0,39280.0,36591.0,-666666666.0,39583.0,36076.0,36989.0,33878.0,13571.0,24746.0,12389.0,31175.0,28875.0,28,043
1006,22121.0,34306.0,34306.0,-666666666.0,24063.0,18438.0,45399.0,18858.0,31713.0,52647.0,31181.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20841.0,42542.0,18601.0,35043.0,-666666666.0,16094.0,-666666666.0,41944.0,28,063
1007,30095.0,35781.0,30446.0,51186.0,35644.0,29196.0,27361.0,17862.0,55595.0,55714.0,52400.0,48456.0,51563.0,50625.0,63654.0,13750.0,37036.0,-666666666.0,9464.0,36159.0,36266.0,36021.0,12434.0,18177.0,10954.0,21743.0,36450.0,28,101
1008,25739.0,42995.0,42788.0,-666666666.0,26442.0,30905.0,21863.0,21702.0,23083.0,19797.0,32292.0,24167.0,19861.0,19815.0,20083.0,29359.0,29696.0,-666666666.0,23750.0,26654.0,33652.0,25328.0,9254.0,14028.0,8843.0,20659.0,42668.0,28,117
1009,26651.0,43750.0,43750.0,-666666666.0,26875.0,30099.0,-666666666.0,21840.0,41875.0,-666666666.0,-666666666.0,-666666666.0,36310.0,35714.0,-666666666.0,35156.0,-666666666.0,-666666666.0,25313.0,21042.0,21146.0,20833.0,15125.0,13750.0,15208.0,40192.0,36875.0,28,125
1010,28718.0,59028.0,42188.0,65729.0,41174.0,24605.0,35865.0,13409.0,53261.0,32292.0,59750.0,37500.0,23438.0,23438.0,-666666666.0,33006.0,20735.0,-666666666.0,33720.0,26094.0,27500.0,21654.0,15278.0,-666666666.0,15833.0,26538.0,27120.0,28,019
1011,32007.0,36086.0,35987.0,40250.0,35317.0,46079.0,32349.0,22363.0,51550.0,38056.0,62924.0,23949.0,42237.0,38220.0,44855.0,32401.0,50179.0,-666666666.0,25761.0,35401.0,38040.0,33047.0,15000.0,25556.0,10114.0,18269.0,65039.0,28,045
1012,29668.0,8750.0,2499.0,-666666666.0,31616.0,32717.0,32350.0,20163.0,37159.0,32480.0,49643.0,31458.0,33094.0,34906.0,22742.0,25221.0,31786.0,-666666666.0,20292.0,34889.0,40536.0,29978.0,12127.0,14226.0,11835.0,25767.0,38500.0,28,057
1013,27679.0,31484.0,31484.0,-666666666.0,82917.0,16346.0,-666666666.0,-666666666.0,75625.0,75625.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44167.0,-666666666.0,-666666666.0,44167.0,17321.0,28906.0,16786.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35179.0,28,055
1014,34531.0,49833.0,40833.0,53578.0,35369.0,52433.0,50870.0,20266.0,42021.0,39049.0,66389.0,37029.0,35080.0,35393.0,33588.0,32436.0,50447.0,-666666666.0,25763.0,38022.0,38487.0,37052.0,20353.0,30794.0,14267.0,22462.0,48601.0,28,059
1015,28068.0,52344.0,47614.0,56611.0,35444.0,31942.0,39813.0,18500.0,25859.0,25195.0,29625.0,36765.0,33500.0,34107.0,31083.0,21147.0,40479.0,-666666666.0,18333.0,26962.0,22583.0,28324.0,8715.0,7008.0,10213.0,26250.0,31504.0,28,083
1016,26344.0,25885.0,25885.0,-666666666.0,34500.0,23535.0,20208.0,48036.0,37475.0,37400.0,-666666666.0,-666666666.0,35625.0,31750.0,36027.0,27596.0,45819.0,-666666666.0,14888.0,31162.0,43664.0,22724.0,21889.0,26783.0,12139.0,13811.0,40223.0,28,143
1017,26719.0,31563.0,50234.0,-666666666.0,17045.0,32682.0,-666666666.0,16337.0,38299.0,31772.0,45000.0,-666666666.0,51295.0,51429.0,-666666666.0,16750.0,-666666666.0,-666666666.0,16531.0,20938.0,22148.0,20332.0,16000.0,33097.0,8558.0,50813.0,29553.0,28,021
1018,30718.0,33219.0,26477.0,52155.0,32462.0,43910.0,40571.0,20364.0,40456.0,37948.0,55186.0,38482.0,32895.0,35279.0,28684.0,30541.0,45808.0,-666666666.0,20691.0,36176.0,37278.0,35634.0,20618.0,26055.0,15374.0,21607.0,43445.0,28,047
1019,29939.0,60417.0,47977.0,76968.0,29775.0,40090.0,21550.0,21752.0,52330.0,48568.0,72903.0,23899.0,31147.0,34491.0,22266.0,30043.0,50550.0,-666666666.0,19396.0,33817.0,36382.0,32107.0,13897.0,17679.0,13229.0,29234.0,35192.0,28,075
