TotalEnergyExpendituremilliondollars,Totalenergyexpenditurepercapitadollarspercapita,TotalResidentialEnergyExpendituremilliondollars,ResidentialEnergyExpenditurepercapitadollarspercapita,TotalTransportationEnergyExpendituremildollars,TransportationEnergyExpenditurepercapitadollars,STATEFP,COUNTYFP
18431.2,3238.5,3672,645.2,9193,1615.28,06,063
18431.2,3238.5,3672,645.2,9193,1615.28,06,065
18431.2,3238.5,3672,645.2,9193,1615.28,06,067
18431.2,3238.5,3672,645.2,9193,1615.28,06,069
18431.2,3238.5,3672,645.2,9193,1615.28,06,071
18431.2,3238.5,3672,645.2,9193,1615.28,06,073
18431.2,3238.5,3672,645.2,9193,1615.28,06,075
18431.2,3238.5,3672,645.2,9193,1615.28,06,077
18431.2,3238.5,3672,645.2,9193,1615.28,06,079
18431.2,3238.5,3672,645.2,9193,1615.28,06,081
18431.2,3238.5,3672,645.2,9193,1615.28,06,083
18431.2,3238.5,3672,645.2,9193,1615.28,06,085
18431.2,3238.5,3672,645.2,9193,1615.28,06,087
18431.2,3238.5,3672,645.2,9193,1615.28,06,089
18431.2,3238.5,3672,645.2,9193,1615.28,06,091
18431.2,3238.5,3672,645.2,9193,1615.28,06,093
18431.2,3238.5,3672,645.2,9193,1615.28,06,095
18431.2,3238.5,3672,645.2,9193,1615.28,06,097
18431.2,3238.5,3672,645.2,9193,1615.28,06,099
18431.2,3238.5,3672,645.2,9193,1615.28,06,101
18431.2,3238.5,3672,645.2,9193,1615.28,06,103
18431.2,3238.5,3672,645.2,9193,1615.28,06,105
18431.2,3238.5,3672,645.2,9193,1615.28,06,107
18431.2,3238.5,3672,645.2,9193,1615.28,06,109
18431.2,3238.5,3672,645.2,9193,1615.28,06,111
18431.2,3238.5,3672,645.2,9193,1615.28,06,113
18431.2,3238.5,3672,645.2,9193,1615.28,06,115
2145.6,3058.4,502,715.57,398,567.32,08,001
2145.6,3058.4,502,715.57,398,567.32,08,003
2145.6,3058.4,502,715.57,398,567.32,08,005
2145.6,3058.4,502,715.57,398,567.32,08,007
2145.6,3058.4,502,715.57,398,567.32,08,009
2145.6,3058.4,502,715.57,398,567.32,08,011
2145.6,3058.4,502,715.57,398,567.32,08,013
2145.6,3058.4,502,715.57,398,567.32,08,014
2145.6,3058.4,502,715.57,398,567.32,08,015
2145.6,3058.4,502,715.57,398,567.32,08,017
2145.6,3058.4,502,715.57,398,567.32,08,019
2145.6,3058.4,502,715.57,398,567.32,08,021
2145.6,3058.4,502,715.57,398,567.32,08,023
2145.6,3058.4,502,715.57,398,567.32,08,025
2145.6,3058.4,502,715.57,398,567.32,08,027
2145.6,3058.4,502,715.57,398,567.32,08,029
2145.6,3058.4,502,715.57,398,567.32,08,031
2145.6,3058.4,502,715.57,398,567.32,08,033
2145.6,3058.4,502,715.57,398,567.32,08,035
2145.6,3058.4,502,715.57,398,567.32,08,037
2145.6,3058.4,502,715.57,398,567.32,08,039
2145.6,3058.4,502,715.57,398,567.32,08,041
2145.6,3058.4,502,715.57,398,567.32,08,043
2145.6,3058.4,502,715.57,398,567.32,08,045
2145.6,3058.4,502,715.57,398,567.32,08,047
2145.6,3058.4,502,715.57,398,567.32,08,049
2145.6,3058.4,502,715.57,398,567.32,08,051
2145.6,3058.4,502,715.57,398,567.32,08,053
2145.6,3058.4,502,715.57,398,567.32,08,055
2145.6,3058.4,502,715.57,398,567.32,08,057
2145.6,3058.4,502,715.57,398,567.32,08,059
2145.6,3058.4,502,715.57,398,567.32,08,061
2145.6,3058.4,502,715.57,398,567.32,08,063
2145.6,3058.4,502,715.57,398,567.32,08,065
2145.6,3058.4,502,715.57,398,567.32,08,067
2145.6,3058.4,502,715.57,398,567.32,08,069
2145.6,3058.4,502,715.57,398,567.32,08,071
2145.6,3058.4,502,715.57,398,567.32,08,073
2145.6,3058.4,502,715.57,398,567.32,08,075
