ISO3,year,value,lower_uncertainty,upper_uncertainty,id
KWT,2005,1.0,,,414
LBN,2005,0.589249551296234,,,422
OMN,2005,1.0,,,512
PSE,2005,1.0,,,275
QAT,2005,1.0,,,634
SAU,2005,0.690545797348022,,,682
SYR,2005,0.596068918704987,,,760
TUR,2005,0.744495332241058,,,792
YEM,2005,0.750564515590668,,,887
ALB,2005,0.698164761066437,,,8
AND,2005,0.836856126785278,,,20
BIH,2005,0.699981212615967,,,70
ESP,2005,0.665820419788361,,,724
GRC,2005,0.683759689331055,,,300
HRV,2005,0.829438507556915,,,191
ITA,2005,0.622938394546509,,,380
MKD,2005,0.715458512306213,,,807
MLT,2005,0.710274219512939,,,470
MNE,2005,0.63513970375061,,,499
PRT,2005,0.749505221843719,,,620
SMR,2005,0.528079569339752,,,674
SRB,2005,0.60332053899765,,,688
SVN,2005,0.789618670940399,,,705
BGR,2005,0.718364894390106,,,100
BLR,2005,0.762927949428558,,,112
CZE,2005,0.607818365097046,,,203
HUN,2005,0.548930108547211,,,348
MDA,2005,0.501154780387878,,,498
POL,2005,0.673957526683807,,,616
ROU,2005,0.612717509269714,,,642
RUS,2005,0.88001561164856,,,643
SVK,2005,0.675175189971924,,,703
UKR,2005,0.582163751125336,,,804
GGY,2005,,,,831
JEY,2005,,,,832
ALA,2005,0.93439769744873,,,248
DNK,2005,0.44839808344841,,,208
EST,2005,0.878377020359039,,,233
FIN,2005,0.958656072616577,,,246
FRO,2005,0.597881436347961,,,234
GBR,2005,0.428221583366394,,,826
IMN,2005,0.55134242773056,,,833
IRL,2005,0.444455593824387,,,372
ISL,2005,0.832637548446655,,,352
LTU,2005,0.684442102909088,,,440
LVA,2005,0.87031877040863,,,428
NOR,2005,0.95098340511322,,,578
SJM,2005,0.868478178977966,,,744
SWE,2005,0.934630632400513,,,752
AUT,2005,0.71191418170929,,,40
BEL,2005,0.627593696117401,,,56
CHE,2005,0.631921648979187,,,756
DEU,2005,0.668357968330383,,,276
FRA,2005,0.607920944690704,,,250
LIE,2005,0.643550932407379,,,438
LUX,2005,0.539611339569092,,,442
NLD,2005,0.581007659435272,,,528
ATA,2005,,,,10
DZA,2006,0.965579211711884,,,12
EGY,2006,1.0,,,818
ESH,2006,0.925487220287323,,,732
LBY,2006,0.99224990606308,,,434
MAR,2006,0.754860460758209,,,504
SDN,2006,0.71976101398468,,,729
TUN,2006,0.717004179954529,,,788
BEN,2006,0.910317003726959,,,204
BFA,2006,0.877094149589539,,,854
CIV,2006,0.573925137519836,,,384
CPV,2006,0.982178866863251,,,132
GHA,2006,0.587732315063477,,,288
GIN,2006,0.587370574474335,,,324
GMB,2006,0.716680765151978,,,270
GNB,2006,0.63753753900528,,,624
LBR,2006,0.758092939853668,,,430
MLI,2006,0.877133846282959,,,466
MRT,2006,0.88115519285202,,,478
NER,2006,0.851108074188232,,,562
NGA,2006,0.502189099788666,,,566
SEN,2006,0.829330503940582,,,686
SHN,2006,,,,654
SLE,2006,0.609287142753601,,,694
TGO,2006,0.628258287906647,,,768
ATF,2006,,,,260
BDI,2006,0.517433345317841,,,108
COM,2006,0.709115207195282,,,174
DJI,2006,0.737812101840973,,,262
ERI,2006,0.74934059381485,,,232
ETH,2006,0.839570760726929,,,231
IOT,2006,,,,86
KEN,2006,0.732974112033844,,,404
MDG,2006,0.587364554405212,,,450
MOZ,2006,0.684995651245117,,,508
MUS,2006,0.506368637084961,,,480
MWI,2006,0.722557902336121,,,454
MYT,2006,1.0,,,175
REU,2006,0.928157925605774,,,638
RWA,2006,0.495099633932114,,,646
SOM,2006,0.718070983886719,,,706
SSD,2006,0.637178838253021,,,728
SYC,2006,,,,690
TZA,2006,0.842815637588501,,,834
UGA,2006,0.596859931945801,,,800
ZMB,2006,0.893231272697449,,,894
ZWE,2006,0.873963892459869,,,716
AGO,2006,0.771527767181396,,,24
CAF,2006,0.946646273136139,,,140
CMR,2006,0.864729762077332,,,120
COD,2006,0.940026998519897,,,180
COG,2006,0.747217118740082,,,178
GAB,2006,0.840665757656097,,,266
GNQ,2006,0.902127683162689,,,226
STP,2006,0.847185134887695,,,678
TCD,2006,0.794353902339935,,,148
BWA,2006,0.826285421848297,,,72
LSO,2006,0.553328454494476,,,426
NAM,2006,0.770274639129639,,,516
SWZ,2006,0.621720016002655,,,748
ZAF,2006,0.585615694522858,,,710
AUS,2006,0.689337730407715,,,36
CXR,2006,,,,162
HMD,2006,,,,334
NFK,2006,,,,574
NZL,2006,0.604700803756714,,,554
FJI,2006,0.844801545143127,,,242
NCL,2006,0.85725337266922,,,540
PNG,2006,0.980718612670898,,,598
SLB,2006,0.962211906909943,,,90
VUT,2006,0.942754447460175,,,548
FSM,2006,,,,583
GUM,2006,,,,316
KIR,2006,,,,296
MHL,2006,,,,584
MNP,2006,,,,580
NRU,2006,,,,520
PLW,2006,,,,585
UMI,2006,,,,581
ASM,2006,,,,16
COK,2006,,,,184
NIU,2006,,,,570
PCN,2006,,,,612
PYF,2006,,,,258
TON,2006,,,,776
WLF,2006,,,,876
WSM,2006,0.888899445533752,,,882
BMU,2006,,,,60
CAN,2006,0.906920254230499,,,124
GRL,2006,0.91152411699295,,,304
SPM,2006,0.96276444196701,,,666
USA,2006,0.687957048416138,,,840
ARG,2006,0.743889570236206,,,32
BOL,2006,0.8109130859375,,,68
BRA,2006,0.780169069766998,,,76
BVT,2006,,,,74
CHL,2006,0.885359883308411,,,152
COL,2006,0.720810532569885,,,170
ECU,2006,0.803778648376465,,,218
FLK,2006,0.950573086738586,,,238
GUF,2006,0.993331789970398,,,254
GUY,2006,0.941175758838654,,,328
PER,2006,0.916615724563599,,,604
PRY,2006,0.691835939884186,,,600
SGS,2006,,,,239
SUR,2006,0.993246793746948,,,740
URY,2006,0.357479214668274,,,858
VEN,2006,0.863747477531433,,,862
BLZ,2006,0.917756974697113,,,84
CRI,2006,0.674949169158936,,,188
GTM,2006,0.636001646518707,,,320
HND,2006,0.728000581264496,,,340
MEX,2006,0.73965048789978,,,484
NIC,2006,0.622450172901154,,,558
PAN,2006,0.778945088386536,,,591
SLV,2006,0.394672900438309,,,222
ABW,2006,,,,533
AIA,2006,,,,660
ATG,2006,0.980008840560913,,,28
