FIPS,County_State,WaterStressERA
18159,Tipton_Indiana,0.007
18161,Union_Indiana,0.004
18163,Vanderburgh_Indiana,0.062
18165,Vermillion_Indiana,2.01
18167,Vigo_Indiana,0.76
18169,Wabash_Indiana,0.017
18171,Warren_Indiana,0.005
18173,Warrick_Indiana,1.198
18175,Washington_Indiana,0.006
18177,Wayne_Indiana,0.025
18179,Wells_Indiana,0.018
18181,White_Indiana,0.015
18183,Whitley_Indiana,0.014
19001,Adair_Iowa,0.003
19003,Adams_Iowa,0.004
19005,Allamakee_Iowa,0.274
19007,Appanoose_Iowa,0.021
19009,Audubon_Iowa,0.005
19011,Benton_Iowa,0.005
19013,Black Hawk_Iowa,0.076
19015,Boone_Iowa,0.007
19017,Bremer_Iowa,0.01
19019,Buchanan_Iowa,0.008
19021,Buena Vista_Iowa,0.016
19023,Butler_Iowa,0.009
19025,Calhoun_Iowa,0.006
19027,Carroll_Iowa,0.011
19029,Cass_Iowa,0.004
19031,Cedar_Iowa,0.007
19033,Cerro Gordo_Iowa,0.02
19035,Cherokee_Iowa,0.013
19037,Chickasaw_Iowa,0.01
19039,Clarke_Iowa,0.004
19041,Clay_Iowa,0.01
19043,Clayton_Iowa,0.009
19045,Clinton_Iowa,0.238
19047,Crawford_Iowa,0.008
19049,Dallas_Iowa,0.005
19051,Davis_Iowa,0.003
19053,Decatur_Iowa,0.002
19055,Delaware_Iowa,0.013
19057,Des Moines_Iowa,0.214
19059,Dickinson_Iowa,0.027
19061,Dubuque_Iowa,0.022
19063,Emmet_Iowa,0.009
19065,Fayette_Iowa,0.007
19067,Floyd_Iowa,0.01
19069,Franklin_Iowa,0.009
19071,Fremont_Iowa,0.004
19073,Greene_Iowa,0.005
19075,Grundy_Iowa,0.004
19077,Guthrie_Iowa,0.003
19079,Hamilton_Iowa,0.01
19081,Hancock_Iowa,0.01
19083,Hardin_Iowa,0.017
19085,Harrison_Iowa,0.009
19087,Henry_Iowa,0.006
19089,Howard_Iowa,0.014
19091,Humboldt_Iowa,0.01
19093,Ida_Iowa,0.007
19095,Iowa_Iowa,0.004
19097,Jackson_Iowa,0.005
19099,Jasper_Iowa,0.009
19101,Jefferson_Iowa,0.005
19103,Johnson_Iowa,0.055
19105,Jones_Iowa,0.005
19107,Keokuk_Iowa,0.005
19109,Kossuth_Iowa,0.008
19111,Lee_Iowa,0.047
19113,Linn_Iowa,0.221
19115,Louisa_Iowa,0.027
19117,Lucas_Iowa,0.002
19119,Lyon_Iowa,0.026
19121,Madison_Iowa,0.002
19123,Mahaska_Iowa,0.007
19125,Marion_Iowa,0.006
19127,Marshall_Iowa,0.017
19129,Mills_Iowa,0.005
19131,Mitchell_Iowa,0.019
19133,Monona_Iowa,0.018
19135,Monroe_Iowa,0.006
19137,Montgomery_Iowa,0.004
19139,Muscatine_Iowa,0.316
19141,O'Brien_Iowa,0.019
19143,Osceola_Iowa,0.036
