'state_id','county_id','value','start_date','end_date','source','dataset'),
(36,67,6.27,'2015-01-01','2015-12-31',12,69),
(19,193,7.59,'2015-01-01','2015-12-31',12,69),
(49,53,4.0,'2015-01-01','2015-12-31',12,69),
(21,63,7.38,'2015-01-01','2015-12-31',12,69),
(19,147,6.93,'2015-01-01','2015-12-31',12,69),
(17,167,9.14,'2015-01-01','2015-12-31',12,69),
(35,31,3.15,'2015-01-01','2015-12-31',12,69),
(24,13,9.84,'2015-01-01','2015-12-31',12,69),
(37,79,8.3,'2015-01-01','2015-12-31',12,69),
(47,65,8.17,'2015-01-01','2015-12-31',12,69),
(17,127,8.84,'2015-01-01','2015-12-31',12,69),
(47,75,8.55,'2015-01-01','2015-12-31',12,69),
(19,3,7.99,'2015-01-01','2015-12-31',12,69),
(54,77,7.55,'2015-01-01','2015-12-31',12,69),
(17,165,9.1,'2015-01-01','2015-12-31',12,69),
(17,163,9.79,'2015-01-01','2015-12-31',12,69),
(19,19,8.48,'2015-01-01','2015-12-31',12,69),
(19,23,8.24,'2015-01-01','2015-12-31',12,69),
(19,33,7.79,'2015-01-01','2015-12-31',12,69),
(21,95,7.24,'2015-01-01','2015-12-31',12,69),
(19,41,6.78,'2015-01-01','2015-12-31',12,69),
(42,57,9.51,'2015-01-01','2015-12-31',12,69),
(20,37,7.32,'2015-01-01','2015-12-31',12,69),
(20,73,6.55,'2015-01-01','2015-12-31',12,69),
(55,131,8.81,'2015-01-01','2015-12-31',12,69),
(53,21,8.59,'2015-01-01','2015-12-31',12,69),
(42,41,11.08,'2015-01-01','2015-12-31',12,69),
(29,59,7.67,'2015-01-01','2015-12-31',12,69),
(51,133,7.53,'2015-01-01','2015-12-31',12,69),
(21,69,9.03,'2015-01-01','2015-12-31',12,69),
(21,79,9.13,'2015-01-01','2015-12-31',12,69),
(31,13,4.92,'2015-01-01','2015-12-31',12,69),
(20,57,6.1,'2015-01-01','2015-12-31',12,69),
(17,77,8.98,'2015-01-01','2015-12-31',12,69),
(12,1,6.47,'2015-01-01','2015-12-31',12,69),
(48,177,8.25,'2015-01-01','2015-12-31',12,69),
(18,119,7.75,'2015-01-01','2015-12-31',12,69),
(17,25,9.25,'2015-01-01','2015-12-31',12,69),
(18,161,9.5,'2015-01-01','2015-12-31',12,69),
(42,77,10.34,'2015-01-01','2015-12-31',12,69),
(42,83,7.21,'2015-01-01','2015-12-31',12,69),
(29,125,7.85,'2015-01-01','2015-12-31',12,69),
(26,39,5.73,'2015-01-01','2015-12-31',12,69),
(27,161,6.88,'2015-01-01','2015-12-31',12,69),
(51,683,8.65,'2015-01-01','2015-12-31',12,69),
